Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
3700,Abbotsford School,8,P,0,261,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1680,Aberdeen School,5,M,0,670,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
2330,Aberfeldy School,2,F,0,44,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
3271,Addington School,3,I,0,246,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1195,Adventure School,10,Z,0,384,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1000,Ahipara School,2,D,0,206,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2150,Ahititi School,4,K,0,21,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
1200,Ahuroa School,9,Q,0,78,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
82,Aidanfield Christian School,8,P,34,223,Composite (Year 1-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Wigram,Te Tai Tonga
1201,Aka Aka School,7,O,0,50,Full Primary,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
350,Akaroa Area School,8,P,65,142,Composite (Year 1-15),State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
6948,Albany Junior High School,10,Z,443,1021,Secondary (Year 7-15),State,Auckland- Upper Harbour,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1202,Albany School,9,Q,0,639,Contributing,State,Auckland- Upper Harbour,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
563,Albany Senior High School,10,Z,696,696,Secondary (Year 9-15),State,Auckland- Upper Harbour,Auckland Region,Auckland South,East Coast Bays,Te Tai Tokerau
3273,Albury School,8,P,0,28,Contributing,State,Mackenzie District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
3701,Alexandra School,8,P,0,191,Full Primary,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2801,Alfredton School,10,Z,0,50,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
6929,Alfriston College,2,E,1343,1343,Secondary (Year 9-15),State,Auckland- Manurewa,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
1203,Alfriston School,8,P,0,306,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
1681,Allandale School,2,F,0,409,Contributing,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3274,Allenton School,7,O,0,341,Contributing,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
3275,Allenvale Special School and Res Centre,6,N,74,132,Special School,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
544,Al-Madinah School,2,E,137,521,Composite (Year 1-15),State: Integrated,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
3276,Amberley School,7,O,0,240,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
614,Amesbury School,10,Z,0,139,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
1682,Amisfield School,4,J,0,239,Full Primary,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
308,Amuri Area School,8,P,93,269,Composite (Year 1-15),State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
1204,Anchorage Park School,3,I,0,135,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
3703,Andersons Bay School,10,Z,0,290,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
683,Ao Tawhiti Unlimited Discovery,7,O,325,479,Composite (Year 1-15),State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
2332,Aokautere School,10,Z,0,84,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3442,Aoraki Mount Cook School,9,Q,0,13,Full Primary,State,Mackenzie District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
1683,Aorangi School (Rotorua),1,C,0,150,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
96,Aorere College,2,D,1496,1496,Secondary (Year 9-15),State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
253,Aotea College,5,M,913,913,Secondary (Year 9-15),State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1684,Apanui School,5,M,0,351,Contributing,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
409,Aparima College,6,N,127,185,Secondary (Year 7-15),State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
2333,Apiti School,9,Q,0,23,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3180,Appleby School,9,Q,0,106,Contributing,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
482,Aquinas College,8,P,543,763,Secondary (Year 7-15),State: Integrated,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1206,Arahoe School,5,M,0,709,Contributing,State,Auckland- Whau,Auckland Region,Auckland North,New Lynn,Tamaki Makaurau
