Inst #;School Name;2015 Decile;"2015 
Step";Decile Change;Step Change;"July 2014 Funding roll
Years 9+";"July 2014 Funding roll
Total ";School Type;Authority;Territorial Local Authority;Regional Council;Ministry of Education Local Office;General Electorate;M?ori Electorate;Telephone;Fax;Email;Principal;School website;Physical address;Suburb;City;Postal Address 1;Postal Address 2;Postal Address 3;Postal Code;Urban Area;School Type;Definition;Authority;Gender of Students;Education Region;Census Area Unit;Ward;Latitude;Longitude ;Total School Roll (Sep15);European/ Pakeha;Maori;Pasifika;Asian;MELAA;Other;International Students
3700;Abbotsford School;8;P;1;1;0;261;Full Primary;State;Dunedin City;Otago Region;Dunedin;Dunedin South;Te Tai Tonga;03 4882642;03 4881119;office@abbotsford.school.nz;Stephanie Madden;http://www.abbotsford.school.nz;72 North Taieri Road;Abbotsford;Dunedin;PO Box 13211;Green Island;Dunedin;9052;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Abbotsford;Central Ward;-45.893.498;170.417.989;271;227;35;5;2;1;1;0
1680;Aberdeen School;5;M;-1;-1;0;670;Contributing;State;Hamilton City;Waikato Region;Hamilton;Hamilton West;Hauraki-Waikato;07 8477312;07 8470849;principal@aberdeen.school.nz;Murray McDonald;http://www.aberdeen.school.nz;Aberdeen Drive;Dinsdale;Hamilton;PO Box 15550;Dinsdale;Hamilton;3243;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Waikato;Dinsdale North;West Ward;-37.789;175.243.253;714;421;195;30;59;7;2;0
2330;Aberfeldy School;2;F;0;0;0;44;Full Primary;State;Wanganui District;Manawatu-Wanganui Region;Whanganui;Whanganui;Te Tai Hauauru;06 3425757;06 3425759;aberfeldy.class@xtra.co.nz;Frances Lambert;0;Parapara Highway;0;Whanganui;Parapara Road RD 3;0;Whanganui;4573;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Fordell-Kakatahi;Area Outside Ward;-39.787.142;175.261.857;36;19;17;0;0;0;0;0
3271;Addington School;3;I;0;2;0;246;Contributing;State;Christchurch City;Canterbury Region;Christchurch;Wigram;Te Tai Tonga;03 3662909;03 3658940;office@addington.school.nz;Trudy-Anne Heath;http://www.addington.school.nz/;22 Brougham Street;0;Christchurch;22 Brougham Street;Addington;Christchurch;8024;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Spreydon;Spreydon-Heathcote Ward;-43.547.858;17.261.824;260;117;75;28;28;10;1;1
1195;Adventure School;10;Z;0;0;0;384;Full Primary;State;Porirua City;Wellington Region;Wellington;Mana;Te Tai Hauauru;04 2347220;04 2347113;admin@adventure.school.nz;John Wootton;http://www.adventure.school.nz;Longitude Place;Whitby;Porirua;Longitude Place;Whitby;Porirua;5024;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Adventure;Northern Ward;-41.120.037;174.890.083;432;337;44;17;16;16;2;0
1000;Ahipara School;2;D;-1;-5;0;206;Full Primary;State;Far North District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4094702;09 4094714;0;Jackie Osborne;http://www.ahipara.school.nz;Main Road;0;Ahipara;PO Box 8;0;Ahipara;449;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Ahipara;Te Hiku Ward;-35.171.776;173.153.602;225;44;175;3;1;1;1;0
2150;Ahititi School;4;K;1;2;0;21;Full Primary;State;New Plymouth District;Taranaki Region;Whanganui;Taranaki-King Country;Te Tai Hauauru;06 7525890;0;ahititioffice@gmail.com;Darrielle Richardson;http://ahititi.school.nz;State Highway 3;Ahititi;Urenui;3252 Mokau Road RD 48;0;Urenui;4378;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Okoki-Okau;North Ward;-388.584;17.460.681;21;7;13;0;0;0;1;0
1200;Ahuroa School;9;Q;2;2;0;78;Full Primary;State;Auckland- Rodney;Auckland Region;Auckland North;Rodney;Te Tai Tokerau;09 4225898;09 4225893;office@ahuroa.school.nz;Michelle Nell;http://ahuroa.school.nz/Ahuroa_School/index.html.html;1349 Ahuroa Road;0;Ahuroa;1349 Ahuroa Road RD 1;0;Warkworth;981;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Tauhoa-Puhoi;Rodney Ward;-36.473.168;174.553.401;75;67;6;1;0;1;0;0
82;Aidanfield Christian School;8;P;1;1;34;223;Composite (Year 1-15);State: Integrated;Christchurch City;Canterbury Region;Christchurch;Wigram;Te Tai Tonga;03 3388153;03 3390821;office@aidanfield.school.nz;Mark Richardson;http://www.aidanfield.school.nz/;2 Nash Road;Halswell;Christchurch;2 Nash Road;Halswell;Christchurch;8025;Main Urban Area;Composite (Year 1-15);Not Applicable;State: Integrated;Co-Educational;Canterbury;Aidanfield;Riccarton-Wigram Ward;-43.563.771;172.571;263;157;21;6;46;27;4;2
1201;Aka Aka School;7;O;-1;-1;0;50;Full Primary;State;Waikato District;Waikato Region;Auckland South;Waikato;Hauraki-Waikato;09 2352806;0;admin@akaaka.school.nz;Michaelene Nu'U;http://www.akaaka.school.nz;809 Aka Aka Main Road;Aka Aka;Waiuku;809 Aka Aka Road RD 2;0;Waiuku;2682;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Otaua;Awaroa ki Tuakau Ward;-37.283.231;174.803.977;58;32;21;4;1;0;0;0
